#ID  stellarM_bestfit  stellarM_median  stellarM_CL68min  stellarM_CL68max  EWhb_bestfit  EWhb_median  EWhb_CL68min  EWhb_CL68max  EWoiii4959_bestfit  EWoiii4959_median  EWoiii4959_CL68min  EWoiii4959_CL68max  EWoiii5007_bestfit  EWoiii5007_median  EWoiii5007_CL68min  EWoiii5007_CL68max
 4.0410e+05  8.576e+07  2.197e+08  8.729e+07  6.402e+08  2.330e+02  1.859e+02  1.085e+02  3.219e+02  5.825e+02  3.342e+02  1.910e+02  5.270e+02  1.758e+03  1.032e+03  5.930e+02  1.623e+03
 4.0410e+05  2.584e+07  9.010e+07  2.801e+07  3.509e+08  6.032e+02  2.132e+02  9.927e+01  4.534e+02  1.877e+01  7.666e+01  6.641e+00  3.140e+02  5.723e+01  2.368e+02  2.052e+01  9.699e+02
 4.0411e+05  6.674e+08  5.586e+08  1.494e+08  1.612e+09  9.981e+01  1.409e+02  7.205e+01  2.988e+02  2.543e+02  2.636e+02  1.349e+02  5.116e+02  7.957e+02  8.181e+02  4.198e+02  1.579e+03
 4.0411e+05  3.481e+07  8.366e+07  3.007e+07  2.844e+08  5.629e+02  2.371e+02  1.130e+02  4.852e+02  5.567e+00  5.316e+01  6.069e+00  2.516e+02  1.699e+01  1.643e+02  1.875e+01  7.781e+02
 4.0411e+05  4.155e+07  1.181e+08  4.246e+07  4.205e+08  2.862e+02  2.229e+02  1.181e+02  4.340e+02  5.025e+00  5.026e+01  5.417e+00  2.464e+02  1.549e+01  1.551e+02  1.674e+01  7.616e+02
 4.0411e+05  6.036e+07  6.903e+07  3.507e+07  1.680e+08  2.304e+02  2.397e+02  1.544e+02  4.242e+02  4.211e+00  1.611e+01  4.579e+00  1.543e+02  1.301e+01  4.961e+01  1.418e+01  4.783e+02
 4.0412e+05  6.697e+07  1.216e+08  7.092e+07  5.158e+08  4.466e+02  2.518e+02  1.266e+02  4.281e+02  9.670e+02  5.232e+02  2.540e+02  8.632e+02  2.941e+03  1.615e+03  7.879e+02  2.654e+03
 5.0152e+04  2.249e+07  5.393e+07  2.081e+07  2.032e+08  6.107e+02  2.572e+02  1.177e+02  5.019e+02  7.089e+00  1.235e+02  9.340e+00  4.623e+02  2.163e+01  3.812e+02  2.872e+01  1.426e+03
 5.0153e+04  2.415e+08  2.463e+08  1.234e+08  6.751e+08  4.438e+02  2.544e+02  1.160e+02  4.836e+02  7.485e+00  2.063e+01  5.273e+00  1.300e+02  2.304e+01  6.360e+01  1.630e+01  4.014e+02
 5.0154e+04  1.394e+07  6.212e+07  1.955e+07  2.575e+08  6.438e+02  2.184e+02  1.040e+02  4.571e+02  2.485e+01  7.111e+01  6.475e+00  3.079e+02  7.589e+01  2.197e+02  2.001e+01  9.501e+02
